question_original,question_clean,answer_original
What charging options are available with BGauss 2-wheelers? ,charging options available bgauss wheelers,"For a BGauss vehicle, a charger is provided with the vehicle and the battery provided is removable. You can plug it into a normal 5 Amps socket and charge it like you charge your mobile phone."
How long does the battery last for BGauss 2-wheelers?,long battery last bgauss wheelers,"The battery for BG D15i and BG D15 Pro will last for 70,000 to 80,000 kilometers, which is 8 to 10 years depending on the individual usage. The battery for BG A2 and BG B8 will last for 40,000 kilometers depending on usage."
How quickly does the battery for BGauss 2-wheelers charge again?,quickly battery bgauss wheelers charge,"Please note, the battery for BG A2 will take 1 hour 45 minutes to get 80% charged, however, it will take 2 hours 15 minutes to get 100% charged. 
Battery for BG B8 will take 2 hours to get 80% charged and 3 hours to get 100% charged.
Batteries for BG D15i and BG D15 Pro will take 4 hours to get 80% charged and 5 hours 30 minutes to get 100% charged."
Do I get a spare tyre with a BGauss 2-wheeler?,get spare tyre bgauss wheeler,"No, a spare tyre is not provided with a BGauss electric 2-wheeler."
How much electricity is required to charge the battery of a BGauss vehicle?,much electricity required charge battery bgauss vehicle,"

BG A2 and BG B8 consume 1.5 units of electricity. BG D15i and BG D15 Pro consume 3.5 units of electricity.

"
What after-sales services are being provided by Flipkart for BGauss 2-wheelers?,aftersales services provided flipkart bgauss wheelers,"


Please note, there will be no after-sales services provided by Flipkart. Kindly contact the brand's customer support for any assistance needed after the purchase of the vehicle. You can also check with the brand authorised dealer.


"
What after-sales services are being provided by BGauss for 2-wheelers?,aftersales services provided bgauss wheelers,"

Please note, the 1st and the 4th services are free of cost. Any other services may be chargeable. For more details, kindly get in touch with the brand at 8291939393.

"
When and how many times does a BGauss vehicle require servicing?,many times bgauss vehicle require servicing,"

BGauss vehicles must be serviced twice a year.

"
What is the average cost of one service for a BGauss 2-wheeler?,average cost one service bgauss wheeler,"The average cost of service will depend on the condition of the vehicle. However, for a standard service, it may range from Rs 300 to Rs 350. For more details, you can contact the brand at 8291939393 or you can choose to contact the brand authorised dealer."
"In case I want to relocate to a different state, do I need to get the BGauss vehicle registered in that state also and will the brand help me with that?",case want relocate different state need get bgauss vehicle registered state also brand help,"In case you relocate to a different state, please contact the local Regional Transport Office for assistance with registration change."
Will Flipkart deliver the BGauss 2-wheeler to my home?,flipkart deliver bgauss wheeler home,"For delivery-related queries, please contact the brand at 8291939393. You can also check with the brand authorised dealer."
I have bought a BGauss 2-wheeler but I want to have a different model. What should I do?,bought bgauss wheeler want different model,"In case you want to buy a different model than the one you have already purchased, you can cancel the existing order and place a new order for the desired model. Please note, the option to cancel the order will not be available after the submission of documents required for processing registration."
"The address while ordering BGauss 2-wheeler on Flipkart is different from the one on my address proof (Aadhaar Card), what should I do now?",address ordering bgauss wheeler flipkart different one address proof aadhaar card,"Please cancel the order and place a new order with the correct address. For more details, you can also contact the brand authorised dealer."
Can I pay for BGauss vehicle's registration and insurance on Flipkart?,pay bgauss vehicles registration insurance flipkart,"

Currently, the option to pay for the registration and insurance is not available on Flipkart. Please note, the vehicle registration amount needs to be paid directly to the brand authorised dealer. You can choose to buy vehicle insurance from the dealer or on your own from a different insurance service provider.

"
Will I get any extra discount/no-cost EMI at the BGauss dealership for insurance and vehicle registration charges?,get extra discountnocost emi bgauss dealership insurance vehicle registration charges,"

Please reach out to the brand authorised dealer for any discount-related information if the service is being purchased from them. Kindly note, the vehicle registration charge is a government tax and is the same for all. It does not include any discount or the option to pay through EMI.

"
Is the warranty for BGauss 2-wheelers being offered by Flipkart?,warranty bgauss wheelers offered flipkart,"Please note, the warranty will be provided by BGauss."
Will BGauss cross-sell/upsell when I visit the brand authorised dealer?,bgauss crosssellupsell visit brand authorised dealer,"Please note, once you've completed the purchase on Flipkart, the brand authorised dealer will not market any other products. However, they may recommend accessories that may be suitable for your vehicle."
How do I contact BGauss for 2-wheeler related queries?,contact bgauss wheeler related queries,"




You can visit BGauss's website or contact them at 8291939393.




"
How do you make sure that I don't get unwarranted calls for cross-sell/upsell from BGauss/insurance partners etc?,make sure dont get unwarranted calls crosssellupsell bgaussinsurance partners etc,"BGauss may contact you only to recommend accessories. In case you receive any unwarranted calls, please contact the brand at 8291939393 and they will help you."
Is the price shown on the product page for an Ather 2-wheeler the final amount?,price shown product page ather wheeler final amount,"Please note, the price shown on the product page is the ex-showroom price of the vehicle. You will also have to pay for registration, insurance, any other accessories and value added services opted as applicable at the brand authorised dealer."
The option to buy an Ather 2-wheeler is not available at my pincode.,option buy ather wheeler available pincode,"

Sorry, the option to purchase an Ather 2-wheeler is available only at select cities. Rest assured, the brand authorised dealers are working on expanding this.

"
I have bought an Ather 2-wheeler but I want to have a different model. What should I do?,bought ather wheeler want different model,"In case you want to buy a different model than the one you have already purchased, you can cancel the existing order and place a new order for the desired model. Please note, the option to cancel the order will not be available after the submission of documents required for processing registration."
What is the advantage of buying an Ather 2-wheeler vehicle through Flipkart?,advantage buying ather wheeler vehicle flipkart,"If you choose to buy an Ather 2-wheeler on Flipkart, then the vehicle will be delivered to you within 15 days by the brand authorised dealers. In case you book the vehicle at a showroom, it may take upto 90 days for the vehicle to be delivered. 
 "
What is the process after paying the ex-showroom price for an Ather 2-wheeler on Flipkart?,process paying exshowroom price ather wheeler flipkart,"Once you've paid the ex-showroom price for the 2-wheeler on Flipkart, the authorised dealer will contact you within 48 hours to initiate the process of registration. After this, you will need to visit the brand authorised dealer to submit the required documents and within the next 7-10 days, the 2-wheeler will be handed over to you at the authorised dealer's location. "
What are the documents required for the entire process of buying an Ather 2-wheeler on Flipkart?,documents required entire process buying ather wheeler flipkart,"

The following documents need to be submitted to the brand authorised dealer to complete the purchase of an Ather 2-wheeler:
- Aadhaar Card- Pan Card- Address proof- Passport size photo

"
Can I submit my documents online for an Ather 2-wheeler and not visit the brand authorised dealer?,submit documents online ather wheeler visit brand authorised dealer,"Yes, you can submit the required documents via email. The authorised dealer will assist you in case hard copy is needed for documentation."
In which all cities can the purchase of an Ather 2-wheeler be made?,cities purchase ather wheeler made,"Please note, Ather 2-wheelers are available for purchase only in Delhi at the moment. Rest assured, brand authorised dealers are working on expanding this to other cities."
In which all cities is Ather operational?,cities ather operational,Kindly check the brand website to know about the cities that Ather is currently operational.
How can I track my order for the Ather 2-wheeler after completing my payment on Flipkart?,track order ather wheeler completing payment flipkart,Tracking your order for 2-wheeler on Flipkart is easy and can be done through the 'My Orders' section of your Flipkart account. You can also choose to contact the brand's authorised dealer to know more about the status of your 2-wheeler.
"Once I have paid for the registration and the insurance, how do I track my order for the Ather 2-wheeler?",paid registration insurance track order ather wheeler,"For Ather, please visit their website to track the status of your order for the 2-wheeler. You can also track it from the 'My Orders' section of your Flipkart account.
You can also contact the brand authorised dealer to know the status of your vehicle."
What subsidies are being offered by Ather and how to claim them?,subsidies offered ather claim,"For Ather vehicles, the central subsidy is already included and you do not have to apply for it again. The authorised dealers will assist you with the state subsidies at the time of the vehicle delivery. (Note: All subsidy discounts will be provided to customers if they are first time electric scooter buyer)."
Is the price for an Ather 2-wheeler inclusive of subsidy?,price ather wheeler inclusive subsidy,"Please note, the price displayed on the product page includes subsidy provided by the central government and is linked to your Aadhar Card and that would mean that this price is applicable only for your first purchase of electrical vehicle."
Is there any loan facility available for the purchase of an Ather 2-wheeler on Flipkart?,loan facility available purchase ather wheeler flipkart,"Currently, there is only No-Cost EMI option available on Flipkart for the purchase of 2-wheelers."
Can I choose my own insurance partner for an Ather 2-wheeler?,choose insurance partner ather wheeler,"You can choose to buy the vehicle insurance from the dealer or on your own from a different insurance service provider. Once you've purchased the insurance, please share details with the authorised dealers so that they can initiate the process of registration at the RTO."
Is there a battery subscription model for Ather 2-wheelers?,battery subscription model ather wheelers,"No, currently there is no battery subscription model offered by Ather."
What accessories will be part of Ather 2-wheelers. Do I have to pay separately for accessories?,accessories part ather wheelers pay separately accessories,"

Currently, Ather provides only Tire Pressure Monitoring System as an accessory. The brand also provides helmets in cities where it is regulated by the State Government. Please note, accessories have to be purchased separately.

"
Can I return my Ather 2-wheeler in case I receive a damaged vehicle?,return ather wheeler case receive damaged vehicle,"While Ather ensures stringent quality check before the delivery of the vehicle, it is recommended that you check the vehicle thoroughly at the dealer's location before accepting the delivery. In the unlikely event of the vehicle having any issue, you can contact the brand at 8882118118 or you can choose to write to them at info@atherenergy.com. You can also check with the brand authorised dealer for assistance."
Can I buy more than one Ather 2-wheeler through the same Flipkart account?,buy one ather wheeler flipkart account,"No, only one vehicle can be purchased through a Flipkart account. Please note, the price displayed on the product page includes subsidy provided by the central government and is linked to your Aadhaar Card and that would mean that this price is applicable only for your first purchase of electrical vehicle."
Do I need to have a driving license to drive an Ather 2-wheeler?,need driving license drive ather wheeler,"Please note, a driving license is required to ride Ather 2-wheelers."
What charging options are available with Ather 2-wheelers. Is there a separate cost associated with it?,charging options available ather wheelers separate cost associated,"For Ather vehicles, Ather Dot is ideal for home charging and it comes complimentary with Ather scooters. If you like you can also choose to buy a portable charger for Rs 12,500 including GST. For more details on charger related queries, please refer to the brand website. 
 "
How long does the battery last for Ather 2-wheelers?,long battery last ather wheelers,"



For more details on the capacity of the battery used, please contact the brand at 8882118118 or you can choose to write to them at info@atherenergy.com. You can also check with the brand authorised dealer.
 



"
How quickly does the battery for Ather 2-wheelers charge again?,quickly battery ather wheelers charge,"Ather Dot, the home charger can charge your vehicle in 6-8 hours if the vehicle is lying idle. For more details on charger related queries, please refer to the brand website.
 "
Do I get a spare tyre with an Ather 2-wheeler?,get spare tyre ather wheeler,"No, a spare tyre is not provided with Ather electric 2-wheeler.
 "
How much electricity is required to charge the battery of an Ather vehicle?,much electricity required charge battery ather vehicle,"Ather Dot, the home charger and the portable charger for Ather vehicles consume 3 kWh (Rs 4-5/kWh) of electricity to get completely charged. For more details on charging related queries, please refer to the brand website.
 "
What after sales services are being provided by Flipkart for Ather 2-wheelers?,sales services provided flipkart ather wheelers,"Please note, there will be no after sales services provided by Flipkart. Kindly contact the brand at 8882118118 or you can choose to write to them at info@atherenergy.com for any assistance needed after the purchase of the vehicle. You can also check with the brand authorised dealer."
What is the warranty being offered by Ather?,warranty offered ather,"Ather offers 3 years warranty on vehicles and battery. Kindly note, the warranty covers a minimum of 80% State of Health over the period of 3 years for batteries.
For more details on warranty, please contact the brand."
When and how many times does an Ather vehicle require servicing?,many times ather vehicle require servicing,"Ather vehicles must be serviced after completing 5000 kilometers. For more details on maintenance and service, please refer to the brand website."
What is the average cost of one service for an Ather 2-wheeler?,average cost one service ather wheeler,"The average cost of service will depend on the condition of the vehicle. For more details, please contact the brand at 8882118118 or you can choose to write to them at info@atherenergy.com. You can also contact the brand authorised dealer for assistance."
"In case I want to relocate to a different state, do I need to get the Ather vehicle registered in that state also and will the brand help me with that?",case want relocate different state need get ather vehicle registered state also brand help,"In case you relocate to a different state, please contact the local Regional Transport Office for assistance with registration change."
Will Flipkart deliver the Ather 2-wheeler at my home?,flipkart deliver ather wheeler home,"No, after the registration process, the brand authorised dealer will contact you to handover the vehicle at the dealer's location."
Will Ather cross-sell/up sell when I visit the brand authorised dealer?,ather crosssellup sell visit brand authorised dealer,"Please note, once you've completed the purchase on Flipkart, the brand authorised dealer will not market any other products. However, they may recommend accessories that may be suitable for your vehicle."
How do you make sure that I don't get unwarranted calls for cross sell/upsell from Ather/insurance partners etc?,make sure dont get unwarranted calls cross sellupsell atherinsurance partners etc,"Ather may contact you only to recommend accessories. In case you receive any unwarranted calls, please contact the brand and they will help you."
"The address while ordering Ather 2-wheeler on Flipkart is different from the one on my address proof (Aadhaar Card), what should I do now?",address ordering ather wheeler flipkart different one address proof aadhaar card,"Please cancel the order and place a new order with correct address. For more details, you can also contact the brand authorised dealer."
Will I get the option to test drive an Ather 2-wheeler? How many times will I be allowed to take a test drive in the same order?,get option test drive ather wheeler many times allowed take test drive order,"

Please contact the brand authorised dealer for any test drive-related queries.

"
What after sales services are being provided by Ather for 2-wheelers?,sales services provided ather wheelers,"


Please contact the brand at 8882118118 or you can choose to write to them at info@atherenergy.com to get more details on the after sales services provided by them.


"
What will happen if Ather brand authorised dealer who will contact me is very far from my location?,happen ather brand authorised dealer contact far location,Please be assured that the nearest authorised dealer will contact you as part of the purchase of an Ather 2-wheeler on Flipkart.
How do I contact Ather for 2-wheeler related queries?,contact ather wheeler related queries,"

You can contact Ather at 8882118118 or you can choose to write to them at info@atherenergy.com.

"
Can I pay for Ather vehicle's registration and insurance on Flipkart?,pay ather vehicles registration insurance flipkart,"Currently the option to pay for the registration and insurance is not available on Flipkart. Please note, the vehicle registration amount needs to be paid directly to the brand authorised dealer. You can choose to buy the vehicle insurance from the dealer or on your own from a different insurance service provider.
 "
Will I get any extra discount/no cost EMI at the Ather dealership for insurance and vehicle registration charges?,get extra discountno cost emi ather dealership insurance vehicle registration charges,"Please reach out to the brand authorised dealer for any discount related information if the service is being purchased from them. Kindly note, the vehicle registration charge is a government tax and is same for all. It does not include any discount or the option to pay through EMI."
There have been recent reports of batteries catching fire. How do I know that Ather products are safe?,recent reports batteries catching fire know ather products safe,"Ather electric vehicles go through 120 tests at the battery pack level and 800 tests at a vehicle level. The brand assures that the safety standards for the battery and battery management systems are higher than compliance requirements. They have also adopted more stringent internal standards to ensure safety and reliability of electric scooters and have thoroughly tested them for 100,000 kilometers. The batteries are tested extensively across lakhs of kilometers and are designed to prevent initiation and propagation of thermal runaway (fire) than what AIS 156 mandates.
 "
Is the warranty of Ather 2-wheelers being offered by Flipkart?,warranty ather wheelers offered flipkart,"Please note, the warranty will be provided by the brand."
Is the price shown on the product page for Hero MotoCorp 2-wheelers the final amount?,price shown product page hero motocorp wheelers final amount,"Please note, the price shown on the product page is the tentative on-road price for your location. You will also have to pay for registration, insurance, any other accessories and value-added services opted as applicable at the brand authorised dealer."
Can I pay for a Hero MotoCorp vehicle's registration and insurance on Flipkart?,pay hero motocorp vehicles registration insurance flipkart,"

Currently, the option to pay for the registration and insurance is not available on Flipkart. Please note, the vehicle registration amount needs to be paid directly to the brand authorised dealer. You can choose to buy vehicle insurance from the dealer or on your own from a different insurance service provider.

"
Will I get any extra discount/no-cost EMI at Hero MotoCorp dealership for insurance and vehicle registration charges?,get extra discountnocost emi hero motocorp dealership insurance vehicle registration charges,"Please reach out to the brand authorised dealer for any discount-related information if the service is being purchased from them. Kindly note, the vehicle registration charge is a government tax and is the same for all. It does not include any discount or the option to pay through EMI."
The option to buy a Hero MotoCorp 2-wheeler is not available at my pincode. What should I do?,option buy hero motocorp wheeler available pincode,"Sorry, the option to purchase the 2-wheeler is available only in select cities. Rest assured, the brand authorised dealers are working on expanding this."
The delivery time mentioned for a BGauss 2-wheeler is too long. Is there anyway to get the 2-wheeler faster?,delivery time mentioned bgauss wheeler long anyway get wheeler faster,"Please note, the brand authorised dealer will be unable to deliver the vehicle faster due to processing timelines needed by them. Rest assured, the 2-wheeler will reach you as per the date provided."
What is the advantage of buying a Hero MotoCorp 2-wheeler vehicle through Flipkart?,advantage buying hero motocorp wheeler vehicle flipkart,"

If you choose to buy 2 wheeler on Flipkart, then the vehicle will be delivered to you within 15 days by the brand authorised dealers. In case you book the vehicle at a showroom, it may take up to 90 days for the vehicle to be delivered.

"
What is the process after paying the ex-showroom price for a Hero MotoCorp 2-wheeler on Flipkart?,process paying exshowroom price hero motocorp wheeler flipkart,"Once you've paid the ex-showroom price for the 2-wheeler on Flipkart, the authorised dealer will contact you within 48 hours to initiate the process of registration. After this, you will need to visit the brand authorised dealer to submit the required documents and within the next 7-10 days, the 2-wheeler will be handed over to you at the authorised dealer's location."
What are the documents required for the entire process of buying a Hero MotoCorp 2-wheeler on Flipkart?,documents required entire process buying hero motocorp wheeler flipkart,"The following documents need to be submitted to the brand authorised dealer to complete the purchase of a 2-wheeler:
- Aadhar Card- Pan Card- Address proof- Passport size photo"
What will happen if the brand authorised dealer who will contact me is very far from my location?,happen brand authorised dealer contact far location,"

Please be assured that the nearest authorised dealer will contact you as part of the purchase of a 2-wheeler on Flipkart.

"
Will I get the option to test drive a Hero MotoCorp 2-wheeler? How many times will I be allowed to take a test drive in the same order?,get option test drive hero motocorp wheeler many times allowed take test drive order,You can take multiple test rides by visiting the nearest brand authorised dealership.
How can I track my order for the Hero MotoCorp 2-wheeler after completing my payment on Flipkart?,track order hero motocorp wheeler completing payment flipkart,"Tracking your order for 2-wheeler on Flipkart is easy and can be done through the 'My Orders' section of your Flipkart account. 
You can also choose to contact the brand authorised dealer to know more about the status of your 2-wheeler."
"Once I have paid for the registration and the insurance, how do I track my order for the Hero MotoCorp 2-wheeler?",paid registration insurance track order hero motocorp wheeler,"For Hero MotoCorp, you can track the order status of your 2-wheeler by visiting the 'My Orders' section of your Flipkart account. You can also contact the brand authorised dealer to know the status of your vehicle."
Is there any loan facility available for the purchase of a Hero MotoCorp 2-wheeler on Flipkart?,loan facility available purchase hero motocorp wheeler flipkart,"Currently, there is only a No-Cost EMI option available on Flipkart for the purchase of a 2-wheeler."
Can I choose my own insurance partner for a Hero MotoCorp 2-wheeler?,choose insurance partner hero motocorp wheeler,"You can choose to buy vehicle insurance from the dealer or on your own from a different insurance service provider. Once you've purchased the insurance, please share details with the authorised dealer so that they can initiate the process of registration at the RTO."
What is the warranty being offered by Hero MotoCorp?,warranty offered hero motocorp,"Hero MotoCorp motorcycles come with a warranty of 5 years or 70,000 kilometers and scooters come with a warranty of 5 years or 50,000 kilometers, whichever is completed earlier."
Can I buy more than one Hero MotoCorp in my name/through Flipkart account?,buy one hero motocorp namethrough flipkart account,"Yes, you can buy more than one vehicle from your Flipkart account."
Do I need to have a driving license to drive Hero MotoCorp 2-wheelers?,need driving license drive hero motocorp wheelers,Please note that you will need a 2-wheeler license to ride Hero MotoCorp.
Do I get a spare tyre with a Hero MotoCorp 2-wheeler?,get spare tyre hero motocorp wheeler,"No, a spare tyre is not provided with Hero MotoCorp 2-wheelers."
What after-sales services are being provided by Flipkart for Hero MotoCorp 2-wheelers?,aftersales services provided flipkart hero motocorp wheelers,"

Please note, there will be no after-sales services provided by Flipkart. Kindly contact the brand's customer support for any assistance needed after the purchase of the vehicle. You can also check with the brand authorised dealer.

"
"In case I want to relocate to a different state, do I need to get the Hero MotoCorp vehicle registered in that state also, and will the brand help me with that?",case want relocate different state need get hero motocorp vehicle registered state also brand help,"In case you relocate to a different state, please contact the local Regional Transport Office for assistance with registration change."
Will Flipkart deliver the Hero MotoCorp 2-wheeler to my home?,flipkart deliver hero motocorp wheeler home,"No, after the registration process, the brand authorised dealer will contact you to handover the vehicle at the dealer's location."
Will Hero MotoCorp cross-sell/up sell when I visit the brand authorised dealer?,hero motocorp crosssellup sell visit brand authorised dealer,"Please note, once you've completed the purchase on Flipkart, the brand authorised dealer will not market any other products. However, they may recommend accessories that may be suitable for your vehicle."
"The address while ordering the Hero MotoCorp 2-wheeler on Flipkart is different from the one on my address proof (Aadhaar Card), what should I do now?",address ordering hero motocorp wheeler flipkart different one address proof aadhaar card,"Please cancel the order and place a new order with the correct address. For more details, you can also contact the brand authorised dealer."
What are the accepted address proofs that I can use for registration so that I can ensure that I have the required documents before making the purchase for a Hero MotoCopr 2-wheeler on Flipkart?,accepted address proofs use registration ensure required documents making purchase hero motocopr wheeler flipkart,"Regional Transport Office mein jo documents address proof ke taur pe jama dene hote hain veh state ke anusaar alag alag ho sakte hain. Haalanki, yeh saare documents address proof ke taur pe aksar maange jaate hain:
- Aadhar Card- Passport- Bank Passbook - Voter ID- Electricity bill- LPG Connection bill- Water bill- Registered Rental Agreement"
"If I cancel or return an item from my order, will the SuperCoins credited be deducted?",cancel return item order supercoins credited deducted,"

SuperCoins calculation happens at the order level. You will get to know about the SuperCoins deducted after you've cancelled or returned an item as it will be recalculated on the basis of the updated order value.
To know more about the program click here. For more information on SuperCoins click here

"
What is SuperCoins?,supercoins,"

SuperCoins is first of its kind rewards system as part of Flipkart Plus program that can be used to redeem exciting rewards. Stay tuned to know more.
To know more about the program click here
For more information on SuperCoins click here

"
Where can I read more detailed terms and conditions of the Flipkart Plus program?,read detailed terms conditions flipkart plus program,"You can view detailed terms and conditions for Flipkart Plus program here 
To know more about terms and conditions of Plus Coins please click here "
Can I transfer SuperCoins to different Flipkart account?,transfer supercoins different flipkart account,"The option to transfer SuperCoins to a different Flipkart account is not available at the moment.
To know more about the program click here 
For more information on SuperCoins click here "
"If I choose 'SuperCoins Price' option, will I still be eligible to avail bank offers/other offers?",choose supercoins price option still eligible avail bank offersother offers,"Non-Bank offers- An order will be eligible for a non-bank offer if the total order value including SuperCoins meets the offer value as defined in the terms and conditions. Bank offers - An order will be eligible for a bank offer if the total order value excluding SuperCoins meets the offer value as defined in the terms and conditions.
 
To know more about the program click here
For more information on SuperCoins click here"
How will the SuperCoins earned be calculated if I choose to buy a product using 'SuperCoins Price'?,supercoins earned calculated choose buy product using supercoins price,"In case you choose to buy a product using 'SuperCoins Price', SuperCoins earned will be based on the actual amount paid for the product excluding the SuperCoins.
 
To know more about the program click hereFor more information on SuperCoins click here"
How can I redeem 'SuperCoins Rewards'?,redeem supercoins rewards,"'SuperCoins Rewards' can be redeemed as per the guidelines mentioned in the SuperCoin Zone. 
To know more about the program click here
For more information on SuperCoins click here
 "
What are the complete terms and conditions for 'SuperCoins Rewards'?,complete terms conditions supercoins rewards,"You can refer to the 'terms of use' mentioned in the SuperCoin Zone to know more about the redemption process and the terms and conditions of 'SuperCoins Rewards'.
To know more about the program click here
For more information on SuperCoins click here"
"As part of the Flipkart Plus program, how do I claim offers?",part flipkart plus program claim offers,"


There are 2 types of offers that are available on the Flipkart SuperCoin Zone:
1. Free Offers: You can redeem benefits for free once you have activated the Flipkart Plus membership. These benefits include free and faster shipping for select products at serviceable pincodes, early access to select sales and products, and partner offers on food, entertainment and travel available in the SuperCoin Zone.
2. Exchange SuperCoins for offers: In addition to all these free benefits, you can avail premium offers from third parties in exchange of SuperCoins.
For more details please visit the 'SuperCoin Zone' section.
To know more about the program click here
For more information on SuperCoins click here


"
On what products will I get the option of 'SuperCoins Price'?,products get option supercoins price,"The 'SuperCoins Price' option is available on select products sold by select sellers and will be visible on the product page along with the regular price. You can also use the filter option to search products with the 'SuperCoins Price' option.
To know more about 'SuperCoins Price', please refer to the terms and conditions here.
 
 
 "
Do I need to be a Flipkart Plus member to avail the 'SuperCoins Price'?,need flipkart plus member avail supercoins price,"No, the 'SuperCoins Price' is available for all our customers.
To know more about 'SuperCoins Price', please refer to the terms and conditions here. "
Why has the Flipkart Plus membership criteria changed from 300 to 200 SuperCoins?,flipkart plus membership criteria changed supercoins,"As part of our efforts to bring more customers into the Flipkart Plus family, the SuperCoins earning needed is reduced to 200 SuperCoins.
To know more about the program click here
For more information on SuperCoins click here"
Will my Flipkart Plus membership be auto-renewed if I have earned 200 SuperCoins in the previous year?,flipkart plus membership autorenewed earned supercoins previous year,"Yes, in case you have earned 200 SuperCoins in the previous year, your membership will be auto-renewed. You can check the membership details by visiting the 'Flipkart Plus Zone' on the app or website.
To know more about the program click here
For more information on SuperCoins click here"
I have earned 200 SuperCoins already last year but still did not receive any membership notification. What do I do?,earned supercoins already last year still receive membership notification,"If you haven't received the membership notification, please check the 'Flipkart Plus Zone' on the app and website. In case you do not see the option, we would request you to wait for 24 hours and you will surely receive the option to activate your membership.
To know more about the program click here
For more information on SuperCoins click here"
"If I cancel or return an item from my order, what will happen to my 'On the way' SuperCoins?
 ",cancel return item order happen way supercoins,"



Once you place an order, SuperCoins earned will be reflected as 'on the way'. In case of any cancellation or returns, SuperCoins earnings will be recalculated and applicable SuperCoins will be moved to 'credited' state after the return period as per the Returns Policy of all the remaining products in the order is completed.
Please note, you'll earn SuperCoins on the actual order value excluding any instant discounts or cashback. 
For more information on SuperCoins click here



"
Will I get early access to sale as I'm a Flipkart Plus customer?,get early access sale im flipkart plus customer,"
Yes, you will be able to access select sale events such as Big Billion Days, Big Shopping Days etc. for select products few hours prior to the sale event which will be communicated to you before the sale as per the applicable terms and conditions. 
To know more about the program click here
For more information on SuperCoins click here

 "
What is Flipkart Plus program?,flipkart plus program,"





Flipkart Plus is a customer benefits program that brings you benefits like free shipping for F-Assured products at serviceable pincodes, early access to select sales and select products, priority customer support and more. To know more about the program click here
For more information on SuperCoins click here





"
How can I be part of Flipkart Plus program?,part flipkart plus program,"

You can become a Flipkart Plus member and enjoy the benefits once you earn 200 SuperCoins within a year through your purchases. After this, you will receive an invite to the program and you will need to activate the Flipkart Plus membership within 30 days of receiving it. With every order worth Rs. 100 you gain 2 SuperCoins. Each additional purchase in the same order in multiples of Rs. 100 gives you 2 additional SuperCoins. You can earn upto a maximum of 50 SuperCoins in a single order.
You can become a Flipkart Plus member even if these 200 SuperCoins have been redeemed. Please note, SuperCoins will be earned on the actual order value excluding any instant discounts or cashback credited.
However, for flight bookings you can earn 4 SuperCoins for every Rs. 100 spent and for train bookings you can earn 10 SuperCoins for every successful transaction.
To know more about the program click here
For more information on SuperCoins click here

"
Can I buy Flipkart Plus membership?,buy flipkart plus membership,"Flipkart Plus is a membership program without any fee. Every customer who shops on Flipkart gets equal opportunity to join Flipkart Plus, solely based on SuperCoins earned. For every Rs. 100 spent as part of an order, you will get 2 SuperCoins. You can become a Flipkart Plus member once you earn a total of 200 SuperCoins, even if these SuperCoins have been redeemed.
Please note, the SuperCoins will be earned on the actual order value excluding any instant discounts or cashback credited.
To know more about the program click here
For more information on SuperCoins click here"
"My Flipkart Plus membership is expiring soon, how can I be a part of the program again?",flipkart plus membership expiring soon part program,"If your membership expires, you can become a Flipkart Plus member again once you earn 200 SuperCoins within a year by shopping for your favourite products on Flipkart. You can become a Flipkart Plus member even if these 200 SuperCoins have been redeemed.
Please note, the SuperCoins will be earned on the actual order value excluding any instant discounts or cashback credited.
To know more about the program click here
For more information on SuperCoins click here"
Where can I check the expiry related details of my Flipkart Plus membership?,check expiry related details flipkart plus membership,"

You can view the details of your membership by following these simple steps:
For App- Log in to your account- Click on Flipkart Plus logo
For Website- Log in to your account- Click on 'My Account'- Go to 'Flipkart Plus Zone'
To know more about the program click here
For more information on SuperCoins click here
 

"
How can I earn more SuperCoins?,earn supercoins,"






A Flipkart Plus member will earn 4 SuperCoins with every purchase worth Rs. 100. Do note that maximum of 100 SuperCoins can be earned per order.
A non-Flipkart Plus member will earn 2 SuperCoins with every purchase worth Rs. 100 and can earn maximum of 50 SuperCoins per order.
The SuperCoins will be earned on the actual order value excluding any instant discounts or cashback credited.
Please note that SuperCoins can't be earned for the purchase of below mentioned categories:
1. Gift Card2. Gold Coins3. Gold Bars4. Silver Coins5. Silver Bars6. Malabar Gift Voucher (Precious Gift Voucher)7. Flipkart Carton Box8. Flipkart Security Bag9. Flipkart Tape10. Digital Products like anti-virus products, OS installation CDs, extended warranty, etc
However, for flight bookings you can earn 4 SuperCoins for every Rs. 100 spent and for train booking you can earn 10 SuperCoins for every successful transaction.
To know more about the Flipkart Plus program click here
For more information on SuperCoins click here






"
How many SuperCoins can I earn in a single order?,many supercoins earn single order,"




Flipkart Plus members can earn 4 SuperCoins by shopping for Rs. 100 with a maximum of 100 SuperCoins per order on Flipkart.
Non-Flipkart Plus members can earn 2 SuperCoins by shopping for Rs. 100 with a maximum of 50 SuperCoins per order on Flipkart.
Please note that the SuperCoins will be earned on the actual order value excluding any instant discounts or cashback credited.
Also, for flight bookings you can earn 4 SuperCoins for every Rs. 100 spent and for train booking you can earn 10 SuperCoins for every successful transaction. 
To know more about the Flipkart Plus program click here
For more information on SuperCoins click here




"
